compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
ICSD64776,Ice-1h,0.17763127800082700,0.6623302957112820,80.979608633925,0.00103580088726518
ICSD64775,Ice-1c,0.2049072024347670,0.6733533103055960,81.189864067778,0.000863167308816095
KP1968,Ice-III_disordered,-0.3272611019916800,0.6064913971510610,89.0755549443956,0.410759671753921
ICSD201179,Ice-IV,-0.8399973265006420,-0.43262669786803900,85.2778152884265,0.528100548458203
ICSD14318,Ice-V,-0.12633719720811200,-0.7645217126594600,103.839586821634,0.383423084121005
KFVB1984,Ice-VI,0.004815567339162060,-1.1158762679589900,116.278160649085,0.417532961639808
ICSD31868,Ice-VII,-0.6516633473314960,-1.0499572584304300,162.379739826898,0.00103580088726518
KSTFH1999,Ice-XII,0.13509951562022300,-1.0204607780931400,114.89087832875,0.57515809488307
EQOPAD01,Ice-XVI,-0.14419713950012000,0.6675572865244030,65.8664461418692,0.123053911736089
RGCCGU2016,Ice-XVII,0.1030334653367840,0.6114802238071260,73.3866209472094,0.00103580088726518
