compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
MECWIB,Zn(eIm)2-ana,0.2338806468060770,-0.06505969784275410,75.53644993839970,0.000901173174317531
EQOCES01,Co(Im)2-cag,0.3946684740440250,-0.2770696321829020,95.4379853849943,0.207078321978748
GIZJOP,Zn(Im)2-cag,0.38881424877493900,-0.49048780974006300,99.98390252811620,0.269820952344231
NAFGOR,Co(Im)2-cag,0.33191906840082800,-0.41097733649286600,100.06596822088900,0.231981309461906
VEJYUF,Zn(Im)2-cag,0.3473875258924940,-0.5790173697736160,102.71326701201200,0.278266171557855
VEJYUF01,Zn(Im)2-cag,0.36318806863181500,-0.5448405168390260,101.64542627640300,0.2691617229627
EQOCOC,Zn(Im)2-coi,-0.1215468074072390,-1.027652042754790,119.9587558294440,0.449309415701841
IMZYCO,Co(Im)2-coi,-0.12494052858494800,-1.0799022797337200,126.4226696312710,0.413429209595266
GITTEJ,Zn(Im)2-crb(BCT),0.18082784311111700,-0.41977854159428500,98.3097981157978,0.213447089289459
LODCUC,Fe(mIm)2-crb(BCT),0.2532367497667370,-0.6732336418607350,97.07110323509200,0.000961182496004633
NAFGOR01,Co(Im)2-crb(BCT),0.29987286382603900,-0.45277209800118500,100.79476174727400,0.107114683196896
VEJYEP,Zn(Im)2-crb(BCT),0.3216629446439100,-0.4726808910657130,101.55913623925900,0.109526616180217
VEJYEP01,Zn(Im)2-crb(BCT),0.3268470155505630,-0.4551170033661780,101.08305802717900,0.104754001482895
VEJYIT,Zn2(Im)4-crb(BCT),0.27772435134723600,0.3939973503986410,79.52230172455880,0.073830623870911
VEJYIT01,Zn(Im)2-crb(BCT),0.2322140054446090,0.4296632528201750,78.81419879087330,0.046864068725174
HIFVOI,Zn(Im)2-dft,0.2345202290612830,-0.10419073636881100,72.44015849612180,0.00095339952268708
VEJYOZ,Zn2(Im)4-dft,0.2932519176110820,-0.13535904610194500,74.63935350435490,0.00128028399464096
MIHHOB,Zn(4abIm)2-dia,0.4497081867498240,0.086693156042409,94.92181579608900,0.000772040398359848
XASGON,Fe(4abIm)2-dia,0.5414161174690250,0.05143514444078760,97.20494345689540,0.00103580081523687
BAYPUN,Hg(Im)2-dia-c,-0.5349403112611810,-1.0897749161589500,172.56678293483500,0.00115806052506268
BAYQAU,Cd(Im)2-dia-c,-0.3141136447517870,1.2164319703889200,173.16896995933200,0.000827921057377657
BAYQAU01,Cd(Im)2-dia-c,-0.5534407423729150,-1.084876796515790,176.483816944076,0.00111879272756318
