compound_reference,compound_name,MDS_coord1,MDS_coord2,T_density,aSite_heterogeneity
ACP-1,ACP-1,-0.8774055797161970,-0.32604722268703800,53.27958578410910,0.9103059633375190
AlPO-18,AlPO-18,-0.6126786176135390,0.27011577963716900,49.679057094179100,0.7093757194227490
AlPO-11,AlPO-11,-1.0684818350677000,-0.14974129954669500,46.82158250731720,0.5490246274054300
MAPO-11,MAPO-11,-1.0897592936858200,-0.04424355066856590,48.52759888179920,0.6904484997943160
AlPO-8,AlPO-8,-0.9682734090154160,-0.007352655114672360,50.55362158976140,0.6891689154433730
Afghanite,Afghanite,-0.24886552805612200,0.37659951100906200,62.910308088586900,0.15260173358178100
AlPO-5,AlPO-5,-0.7376592478826260,0.3571411977762630,54.33844928782180,0.5414232419191680
AlPO-41,AlPO-41,-1.0689067366450600,-0.2230722655671830,48.549237662589900,0.47601685762178200
SAPO-40,SAPO-40,-0.4905979232290780,0.1746031703776440,51.03546186003640,0.6765935191923440
MAPSO-46,MAPSO-46,-1.0263722659472300,-0.12918758745404,37.66536543175970,0.7169093504646350
AlPO-52,AlPO-52,-0.8789518388658810,0.15164321815251300,44.69001297941580,0.6182674542434040
AlPO-57,AlPO-57,-0.9946945415426820,-0.6021512956218350,29.560417925203800,0.6286606554601440
SAPO-56,SAPO-56,-1.0730281203889800,-0.30741383941802300,36.99862945615150,0.5955963474992930
CoAPO-50,CoAPO-50,-0.7669957418722360,-0.1659838665310550,42.06638227002300,0.8622971943676390
Analcime,Analcime,0.6216504532955040,-0.11230515264499500,82.92221805023370,0.0008674724612869950
AlPO-C,AlPO-C_Dehydrated,-0.7636231873601640,0.1906189206484520,57.77883616470930,0.6968762288284280
AlPO-D,AlPO-D,-0.7786306211985520,0.10826714165901600,62.58040470582180,0.7259678194796360
Octadecasil,Octadecasil,0.6612763858358870,-0.01775675384735540,73.2158782112948,0.3725952874715780
AlPO-16,AlPO-16,-1.0280931733465800,-0.3252914340650840,41.61111354752120,0.8564859348083700
ASU-7,ASU-7,0.6781119636764020,-0.5397941656204090,85.86788579930670,0.6052065904307680
SAPO-31,SAPO-31,-0.45561721673418,0.4498531005017090,65.47333070065560,0.6535878113526490
MAPO-36,MAPO-36,0.1308234705549900,0.17808847892675000,63.619837543401100,0.26285585695468400
B-SSZ-55,B-SSZ-55,0.2888451000462740,0.12803433706274300,65.7352819076671,0.22721316928900700
AlPO-12,AlPO-12,-0.7298288101205670,-0.10360514895111100,53.91474004218530,0.7262037222108390
AlPO-25,AlPO-25,-0.3081387192799920,0.44581990778423000,69.33840383016060,0.2152864441109900
AlPO-78,AlPO-78,-0.6241735192122480,0.36613986574511400,53.78345659267290,0.6790107531471640
Mg-BCTT,Mg-BCTT,0.6421836914397820,-0.16482257330880800,88.76285187835850,0.0010780957013667900
FOS-5,FOS-5,0.5620862351917090,-0.38487223329884100,66.36472181183750,0.512240267073733
ITQ-17,ITQ-17,0.17741429238753300,0.18831949069450800,58.33906293306530,0.30409072703003000
UCSB-15GaGe,UCSB-15GaGe,0.5763332732246010,-0.5630184643383730,82.54914600902760,0.43278431860089700
Boggsite,Boggsite,0.1878832078547980,0.18242156409587200,61.39981910349500,0.2659495378643850
Be-10,Be-10,-0.06312347588212330,-0.5558369391445530,52.40243265752100,0.33236539694418600
Bephosphate-H,Bephosphate-H,-0.023834688001457200,-0.19519147775629500,55.289273846831700,0.43378823962178100
Brewsterite,Brewsterite,0.13754035329127500,0.031193953480039900,70.55776941848830,0.3410829296681920
UCSB-7,UCSB-7,0.39105522489939400,-0.9203438085371670,83.62805138869140,0.0007182983756468250
Cancrinite,Cancrinite,0.26350039196426800,-0.19735163018364100,73.57819508134780,0.2756383369226150
Tiptopite,Tiptopite,0.47500744636999700,-0.4467907602939590,76.68388818672940,0.361600945802805
Cs-Aluminosilicate,Cs-Aluminosilicate,0.43452160138063300,0.1687536853731950,84.09239609023890,0.24130733520161100
UZM-25,UZM-25,0.04271466360193820,0.40642032620402000,69.5423424367604,0.2681516330650430
CIT-5,CIT-5,-0.6124177993517550,0.4518031022831610,56.146742394638000,0.615641525981808
CoGaPO-5,CoGaPO-5,-0.8724253313882560,-0.2055324103635900,56.04533794012220,0.8965026499427960
CoGaPO-6,CoGaPO-6,-0.6522715821187770,-0.25896718104933000,54.06975414537620,0.8515955497459680
Chabazite,Chabazite,0.5488783542853170,0.0046176391780749300,63.6711224906032,0.0009966997769940980
SAPO-47,SAPO-47,-0.4047876378559550,0.293800196879864,52.45684828214960,0.63486282559616
CIT-7,CIT-7,0.41341984486255600,0.04660296609557090,63.46293352396530,0.27995579676691700
Na-ZnPO,Na-ZnPO,-0.7592933631218290,-0.47056916907362700,56.49267726281430,0.9485509173287220
Dachiardite,Dachiardite,0.1967701387909940,0.3334442043471420,69.74531496559060,0.24401191571541900
Deca-dodecasil-3R,Deca-dodecasil-3R,0.018526060553855500,0.4885441321424130,65.14076306970030,0.29994611414346800
DAF-1,DAF-1,0.1879300763129160,-0.13941850898134200,58.04156868018400,0.3895309412930560
UiO-20,UiO-20,-0.9511971329539020,0.3196125461183790,56.63960812719850,0.9005379896860880
Dodecasil-1H,Dodecasil-1H,0.09053764788629450,0.6216440313799090,68.60079766298020,0.1588384751106210
UTD-1F,UTD-1F,0.3002386764154540,0.21598985860841200,67.76110748331000,0.3023334916402840
Bellbergite,Bellbergite,0.36162690313614700,0.1159247855455640,65.2709542484407,0.26063621775967700
TMA-E,TMA-E,-0.21694583204397600,0.12286717597206300,59.80145228654230,0.31821887254022500
Edingtonite,Edingtonite,0.03283289919833880,-0.30666252280360700,69.00321181488940,0.48446782735838000
K-F,K-F,0.5311506115214100,0.35120467029570200,64.04442024797930,0.38988881827509100
SSZ-45,SSZ-45,0.16543700515843200,0.41455344180024300,72.18492209605500,0.40801207072958200
EMC-2,EMC-2,0.5243030066111830,-0.1560544828234780,54.402748825536700,0.14825699228553700
TNU-7,TNU-7,0.4234732451927990,-0.09041316149362030,70.3874824222629,0.356112038426341
Epistilbite,Epistilbite,0.02387022514302540,0.33574643085261300,67.68966575666410,0.282190996985688
Erionite,Erionite,0.5381868444127210,-0.019157431921724400,67.0438071440601,0.25821271978378800
AlPO-17,AlPO-17,-0.5358241664865030,0.07696924229538020,55.16107927396920,0.7429101894544070
ERS-7,ERS-7,0.16902341219513400,0.3744870430175020,66.17518146586650,0.23173903219403100
EU-12,EU-12,0.3227261628234490,0.27775054229590100,73.68229860901520,0.23146444933129500
ECR-34,ECR-34,0.549959063029133,-0.32640197327942500,64.97511028187010,0.3436101852522680
EU-1,EU-1,0.04801736267977380,0.4617792330809930,66.94680362018610,0.3626248133462520
ZSM-50,ZSM-50,-0.9511896340208220,0.18776971334126600,50.60489621504010,0.322071378142928
